Legal,Statement
659,มาตรา 659  ถ้าการรับฝากทรัพย์เป็นการทำให้เปล่าไม่มีบำเหน็จไซร้ ท่านว่าผู้รับฝากจำต้องใช้ความระมัดระวังสงวนทรัพย์สินซึ่งฝากนั้นเหมือนเช่นเคยประพฤติในกิจการของตนเอง ถ้าการรับฝากทรัพย์นั้นมีบำเหน็จค่าฝาก ท่านว่าผู้รับฝากจำต้องใช้ความระมัดระวังและใช้ฝีมือเพื่อสงวนทรัพย์สินนั้นเหมือนเช่นวิญญูชนจะพึงประพฤติโดยพฤติการณ์ดังนั้น  ทั้งนี้ ย่อมรวมทั้งการใช้ฝีมืออันพิเศษเฉพาะการในที่จะพึงใช้ฝีมือเช่นนั้นด้วย ถ้าและผู้รับฝากเป็นผู้มีวิชาชีพเฉพาะกิจการค้าขายหรืออาชีวะอย่างหนึ่งอย่างใดก็จำต้องใช้ความระมัดระวังและใช้ฝีมือเท่าที่เป็นธรรมดาจะต้องใช้และสมควรจะต้องใช้ในกิจการค้าขายหรืออาชีวะอย่างนั้น
660,มาตรา 660  ถ้าผู้ฝากมิได้อนุญาต และผู้รับฝากเอาทรัพย์สินซึ่งฝากนั้นออกใช้สอยเอง หรือเอาไปให้บุคคลภายนอกใช้สอย หรือให้บุคคลภายนอกเก็บรักษาไซร้ ท่านว่าผู้รับฝากจะต้องรับผิดเมื่อทรัพย์สินซึ่งฝากนั้นสูญหายหรือบุบสลายอย่างหนึ่งอย่างใด แม้ถึงจะเป็นเพราะเหตุสุดวิสัย เว้นแต่จะพิสูจน์ได้ว่าถึงอย่างไร ๆ ทรัพย์สินนั้นก็คงจะต้องสูญหายหรือบุบสลายอยู่นั่นเอง
661,มาตรา 661  ถ้าบุคคลภายนอกอ้างว่ามีสิทธิเหนือทรัพย์สินซึ่งฝากและยื่นฟ้องผู้รับฝากก็ดี หรือยึดทรัพย์สินนั้นก็ดี ผู้รับฝากต้องรีบบอกกล่าวแก่ผู้ฝากโดยพลัน
662,มาตรา 662  ถ้าได้กำหนดเวลากันไว้ว่าจะพึงคืนทรัพย์สินซึ่งฝากนั้นเมื่อไร ท่านว่าผู้รับฝากไม่มีสิทธิจะคืนทรัพย์สินก่อนถึงเวลากำหนด เว้นแต่ในเหตุจำเป็นอันมิอาจจะก้าวล่วงเสียได้
663,มาตรา 663  ถึงแม้ว่าคู่สัญญาจะได้กำหนดเวลาไว้ว่าจะพึงคืนทรัพย์สินซึ่งฝากนั้นเมื่อไรก็ตาม ถ้าว่าผู้ฝากจะเรียกคืนในเวลาใด ๆ ผู้รับฝากก็ต้องคืนให้
664,มาตรา 664  ถ้าคู่สัญญาไม่ได้กำหนดเวลาไว้ว่าจะพึงคืนทรัพย์สินซึ่งฝากนั้นเมื่อไรไซร้ ผู้รับฝากอาจคืนทรัพย์สินนั้นได้ทุกเมื่อ
665,มาตรา 665  ผู้รับฝากจำต้องคืนทรัพย์สินซึ่งรับฝากไว้นั้นให้แก่ผู้ฝาก หรือทรัพย์สินนั้นฝากในนามของผู้ใด คืนให้แก่ผู้นั้น หรือผู้รับฝากได้รับคำสั่งโดยชอบให้คืนทรัพย์สินนั้นไปแก่ผู้ใด คืนให้แก่ผู้นั้น แต่หากผู้ฝากทรัพย์ตาย ท่านให้คืนทรัพย์สินนั้นให้แก่ทายาท
666,มาตรา 666  เมื่อคืนทรัพย์ ถ้ามีดอกผลเกิดแต่ทรัพย์สินซึ่งฝากนั้นเท่าใด ผู้รับฝากจำต้องส่งมอบพร้อมไปกับทรัพย์สินนั้นด้วย
667,มาตรา 667  ค่าคืนทรัพย์สินซึ่งฝากนั้น ย่อมตกแก่ผู้ฝากเป็นผู้เสีย
668,มาตรา 668  ค่าใช้จ่ายใดอันควรแก่การบำรุงรักษาทรัพย์สินซึ่งฝากนั้น ผู้ฝากจำต้องชดใช้ให้แก่ผู้รับฝาก เว้นแต่จะได้ตกลงกันไว้โดยสัญญาฝากทรัพย์ว่าผู้รับฝากจะต้องออกเงินค่าใช้จ่ายนั้นเอง
669,มาตรา 669  ถ้าไม่ได้กำหนดเวลาไว้ในสัญญา หรือไม่มีกำหนดโดยจารีตประเพณีว่าบำเหน็จค่าฝากทรัพย์นั้นจะพึงชำระเมื่อไรไซร้ ท่านให้ชำระเมื่อคืนทรัพย์สินซึ่งฝาก ถ้าได้กำหนดเวลากันไว้เป็นระยะอย่างไร ก็พึงชำระเมื่อสิ้นระยะเวลานั้นทุกคราวไป
670,มาตรา 670  ผู้รับฝากชอบที่จะยึดหน่วงเอาทรัพย์สินซึ่งฝากนั้นไว้ได้ จนกว่าจะได้รับเงินบรรดาที่ค้างชำระแก่ตนเกี่ยวด้วยการฝากทรัพย์นั้น
671,มาตรา 671  ในข้อความรับผิดเพื่อใช้เงินบำเหน็จค่าฝากทรัพย์ก็ดี ชดใช้เงินค่าใช้จ่ายก็ดี ใช้ค่าสินไหมทดแทนเกี่ยวแก่การฝากทรัพย์ก็ดี ท่านห้ามมิให้ฟ้องเมื่อพ้นเวลาหกเดือนนับแต่วันสิ้นสัญญา
672,มาตรา 672  ถ้าฝากเงิน ท่านให้สันนิษฐานไว้ก่อนว่า ผู้รับฝากไม่พึงต้องส่งคืนเป็นเงินทองตราอันเดียวกันกับที่ฝาก แต่จะต้องคืนเงินให้ครบจำนวน อนึ่ง ผู้รับฝากจะเอาเงินซึ่งฝากนั้นออกใช้ก็ได้ แต่หากจำต้องคืนเงินให้ครบจำนวนเท่านั้น แม้ว่าเงินซึ่งฝากนั้นจะได้สูญหายไปด้วยเหตุสุดวิสัยก็ตาม ผู้รับฝากก็จำต้องคืนเงินเป็นจำนวนดังว่านั้น
673,มาตรา 673  เมื่อใดผู้รับฝากจำต้องคืนเงินแต่เพียงเท่าจำนวนที่ฝาก ผู้ฝากจะเรียกถอนเงินคืนก่อนถึงเวลาที่ได้ตกลงกันไว้ไม่ได้ หรือฝ่ายผู้รับฝากจะส่งคืนเงินก่อนถึงเวลานั้นก็ไม่ได้ดุจกัน
674,มาตรา 674  เจ้าสำนักโรงแรมหรือโฮเต็ล หรือสถานที่อื่นทำนองเช่นว่านั้น จะต้องรับผิดเพื่อความสูญหายหรือบุบสลายอย่างใด ๆ อันเกิดแก่ทรัพย์สินซึ่งคนเดินทางหรือแขกอาศัยหากได้พามา
675,มาตรา 675  เจ้าสำนักต้องรับผิดในการที่ทรัพย์สินของคนเดินทางหรือแขกอาศัยสูญหายหรือบุบสลายไปอย่างใด ๆ แม้ถึงว่าความสูญหายหรือบุบสลายนั้นจะเกิดขึ้นเพราะผู้คนไปมาเข้าออก ณ โรงแรม โฮเต็ล หรือสถานที่เช่นนั้น ก็คงต้องรับผิด ความรับผิดนี้ ถ้าเกี่ยวด้วยเงินทองตรา ธนบัตร ตั๋วเงิน พันธบัตร ใบหุ้น ใบหุ้นกู้ ประทวนสินค้า อัญมณี หรือของมีค่าอื่น ๆ ให้จำกัดไว้เพียงห้าพันบาท เว้นแต่จะได้ฝากของมีค่าเช่นนี้ไว้แก่เจ้าสำนักและได้บอกราคาแห่งของนั้นชัดแจ้ง แต่เจ้าสำนักไม่ต้องรับผิดเพื่อความสูญหายหรือบุบสลายอันเกิดแต่เหตุสุดวิสัย หรือแต่สภาพแห่งทรัพย์สินนั้น หรือแต่ความผิดของคนเดินทาง หรือแขกอาศัยผู้นั้นเอง หรือบริวารของเขา หรือบุคคลซึ่งเขาได้ต้อนรับ
676,มาตรา 676  ทรัพย์สินซึ่งมิได้นำฝากบอกราคาชัดแจ้งนั้น เมื่อพบเห็นว่าสูญหายหรือบุบสลายขึ้น คนเดินทางหรือแขกอาศัยต้องแจ้งความนั้นต่อเจ้าสำนักโรงแรม โฮเต็ล หรือสถานที่เช่นนั้นทันที มิฉะนั้นท่านว่าเจ้าสำนักย่อมพ้นจากความรับผิดดังบัญญัติไว้ในมาตรา 674 และ 675
677,มาตรา 677  ถ้ามีคำแจ้งความปิดไว้ในโรงแรม โฮเต็ล หรือสถานที่อื่นทำนองเช่นว่านี้ เป็นข้อความยกเว้นหรือจำกัดความรับผิดของเจ้าสำนักไซร้ ท่านว่าความนั้นเป็นโมฆะ เว้นแต่คนเดินทางหรือแขกอาศัยจะได้ตกลงด้วยชัดแจ้งในการยกเว้นหรือจำกัดความรับผิดดังว่านั้น
678,มาตรา 678  ในข้อความรับผิดใช้ค่าสินไหมทดแทนเพื่อทรัพย์สินของคนเดินทางหรือของแขกอาศัยสูญหายหรือบุบสลายนั้น ท่านห้ามมิให้ฟ้องเมื่อพ้นเวลาหกเดือนนับแต่วันที่คนเดินทางหรือแขกอาศัยออกไปจากสถานที่นั้น
679,มาตรา 679  เจ้าสำนักชอบที่จะยึดหน่วงเครื่องเดินทางหรือทรัพย์สินอย่างอื่นของคนเดินทางหรือแขกอาศัยอันเอาไว้ในโรงแรม โฮเต็ล หรือสถานที่เช่นนั้นได้จนกว่าจะได้รับใช้เงินบรรดาที่ค้างชำระแก่ตน เพื่อการพักอาศัยและการอื่น ๆ อันได้ทำให้แก่คนเดินทางหรือแขกอาศัยตามที่เขาพึงต้องการนั้น รวมทั้งการชดใช้เงินทั้งหลายที่ได้ออกแทนไปด้วย เจ้าสำนักจะเอาทรัพย์สินที่ได้ยึดหน่วงไว้เช่นว่านั้นออกขายทอดตลาดแล้วหักเอาเงินใช้จำนวนที่ค้างชำระแก่ตนรวมทั้งค่าฤชาธรรมเนียมและค่าใช้จ่ายในการขายทอดตลาดนั้นจากเงินที่ขายทรัพย์สินนั้นก็ได้ แต่ท่านมิให้เจ้าสำนักใช้สิทธิดังว่านี้ จนเมื่อ (1) ทรัพย์สินนั้นตกอยู่แก่ตนเป็นเวลานานถึงหกสัปดาห์ยังมิได้รับชำระหนี้สิน และ (2) อย่างน้อยเดือนหนึ่งก่อนวันขายทอดตลาด ตนได้ประกาศโฆษณาในหนังสือพิมพ์ประจำท้องถิ่นฉบับหนึ่งแจ้งความจำนงที่จะขายทรัพย์สิน บอกลักษณะแห่งทรัพย์สินที่จะขายโดยย่อ กับถ้ารู้ชื่อเจ้าของ ก็บอกด้วย เมื่อขายทอดตลาดหักใช้หนี้ดังกล่าวแล้ว มีเงินเหลืออยู่อีกเท่าใดต้องคืนให้แก่เจ้าของ หรือฝากไว้ ณ สำนักงานฝากทรัพย์ตามบทบัญญัติในมาตรา 331 และ 333
680,มาตรา 680  อันว่าค้ำประกันนั้น คือสัญญาซึ่งบุคคลภายนอกคนหนึ่ง เรียกว่า ผู้ค้ำประกัน ผูกพันตนต่อเจ้าหนี้คนหนึ่ง เพื่อชำระหนี้ในเมื่อลูกหนี้ไม่ชำระหนี้นั้น อนึ่ง สัญญาค้ำประกันนั้น ถ้ามิได้มีหลักฐานเป็นหนังสืออย่างใดอย่างหนึ่งลงลายมือชื่อผู้ค้ำประกันเป็นสำคัญ ท่านว่าจะฟ้องร้องให้บังคับคดีหาได้ไม่
681,มาตรา 681 อันค้ำประกันนั้นจะมีได้แต่เฉพาะเพื่อหนี้อันสมบูรณ์ หนี้ในอนาคตหรือหนี้มีเงื่อนไขจะประกันไว้เพื่อเหตุการณ์ซึ่งหนี้นั้นอาจเป็นผลได้จริงก็ประกันได้ แต่ต้องระบุวัตถุประสงค์ในการก่อหนี้รายที่ค้ำประกัน ลักษณะของมูลหนี้ จำนวนเงินสูงสุดที่ค้ำประกัน และระยะเวลาในการก่อหนี้ที่จะค้ำประกัน เว้นแต่เป็นการค้ำประกันเพื่อกิจการเนื่องกันไปหลายคราวตามมาตรา 699 จะไม่ระบุระยะเวลาดังกล่าวก็ได้ สัญญาค้ำประกันต้องระบุหนี้หรือสัญญาที่ค้ำประกันไว้โดยชัดแจ้ง และผู้ค้ำประกันย่อมรับผิดเฉพาะหนี้หรือสัญญาที่ระบุไว้เท่านั้น หนี้อันเกิดแต่สัญญาซึ่งไม่ผูกพันลูกหนี้เพราะทำด้วยความสำคัญผิดหรือเพราะเป็นผู้ไร้ความสามารถนั้นก็อาจจะมีประกันอย่างสมบูรณ์ได้ ถ้าหากว่าผู้ค้ำประกันรู้เหตุสำคัญผิดหรือไร้ความสามารถนั้นในขณะที่เข้าทำสัญญาผูกพันตน
681,มาตรา 681/1 ข้อตกลงใดที่กำหนดให้ผู้ค้ำประกันต้องรับผิดอย่างเดียวกับลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม ข้อตกลงนั้นเป็นโมฆะ ความในวรรคหนึ่ง มิให้ใช้บังคับแก่กรณีผู้ค้ำประกันซึ่งเป็นนิติบุคคลและยินยอมเข้าผูกพันตนเพื่อรับผิดอย่างลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม ในกรณีเช่นนั้นผู้ค้ำประกันซึ่งเป็นนิติบุคคลนั้นย่อมไม่มีสิทธิดังที่บัญญัติไว้ในมาตรา 688 มาตรา 689 และมาตรา 690[16]
682,มาตรา 682  ท่านว่าบุคคลจะยอมเข้าเป็นผู้รับเรือน คือเป็นประกันของผู้ค้ำประกันอีกชั้นหนึ่ง ก็เป็นได้ ถ้าบุคคลหลายคนยอมตนเข้าเป็นผู้ค้ำประกันในหนี้รายเดียวกันไซร้ ท่านว่าผู้ค้ำประกันเหล่านั้นมีความรับผิดอย่างลูกหนี้ร่วมกัน แม้ถึงว่าจะมิได้เข้ารับค้ำประกันรวมกัน
683,มาตรา 683  อันค้ำประกันอย่างไม่มีจำกัดนั้นย่อมคุ้มถึงดอกเบี้ยและค่าสินไหมทดแทนซึ่งลูกหนี้ค้างชำระ ตลอดจนค่าภาระติดพันอันเป็นอุปกรณ์แห่งหนี้รายนั้นด้วย
684,มาตรา 684  ผู้ค้ำประกันย่อมรับผิดเพื่อค่าฤชาธรรมเนียมความซึ่งลูกหนี้จะต้องใช้ให้แก่เจ้าหนี้ แต่ถ้าโจทก์ฟ้องคดีโดยมิได้เรียกให้ผู้ค้ำประกันชำระหนี้นั้นก่อนไซร้ ท่านว่าผู้ค้ำประกันหาต้องรับผิดเพื่อใช้ค่าฤชาธรรมเนียมเช่นนั้นไม่
685,มาตรา 685  ถ้าเมื่อบังคับตามสัญญาค้ำประกันนั้น ผู้ค้ำประกันไม่ชำระหนี้ทั้งหมดของลูกหนี้ รวมทั้งดอกเบี้ย ค่าสินไหมทดแทน และอุปกรณ์ด้วยไซร้ หนี้ยังเหลืออยู่เท่าใด ท่านว่าลูกหนี้ยังคงรับผิดต่อเจ้าหนี้ในส่วนที่เหลือนั้น
685,มาตรา 685/1 บรรดาข้อตกลงเกี่ยวกับการค้ำประกันที่แตกต่างไปจากมาตรา 681 วรรคหนึ่ง วรรคสอง และวรรคสาม มาตรา 686 มาตรา 694 มาตรา 698 และมาตรา 699 เป็นโมฆะ
686,มาตรา 686 เมื่อลูกหนี้ผิดนัด ให้เจ้าหนี้มีหนังสือบอกกล่าวไปยังผู้ค้ำประกันภายในหกสิบวันนับแต่วันที่ลูกหนี้ผิดนัด และไม่ว่ากรณีจะเป็นประการใดเจ้าหนี้จะเรียกให้ผู้ค้ำประกันชำระหนี้ก่อนที่หนังสือบอกกล่าวจะไปถึงผู้ค้ำประกันมิได้ แต่ไม่ตัดสิทธิผู้ค้ำประกันที่จะชำระหนี้เมื่อหนี้ถึงกำหนดชำระ ในกรณีที่เจ้าหนี้มิได้มีหนังสือบอกกล่าวภายในกำหนดเวลาตามวรรคหนึ่ง ให้ผู้ค้ำประกันหลุดพ้นจากความรับผิดในดอกเบี้ยและค่าสินไหมทดแทน ตลอดจนค่าภาระติดพันอันเป็นอุปกรณ์แห่งหนี้รายนั้นบรรดาที่เกิดขึ้นภายหลังจากพ้นกำหนดเวลาตามวรรคหนึ่ง เมื่อเจ้าหนี้มีสิทธิเรียกให้ผู้ค้ำประกันชำระหนี้หรือผู้ค้ำประกันมีสิทธิชำระหนี้ได้ตามวรรคหนึ่ง ผู้ค้ำประกันอาจชำระหนี้ทั้งหมดหรือใช้สิทธิชำระหนี้ตามเงื่อนไขและวิธีการในการชำระหนี้ที่ลูกหนี้มีอยู่กับเจ้าหนี้ก่อนการผิดนัดชำระหนี้  ทั้งนี้ เฉพาะในส่วนที่ตนต้องรับผิดก็ได้ และให้นำความในมาตรา 701 วรรคสอง มาใช้บังคับโดยอนุโลม ในระหว่างที่ผู้ค้ำประกันชำระหนี้ตามเงื่อนไขและวิธีการในการชำระหนี้ของลูกหนี้ตามวรรคสาม เจ้าหนี้จะเรียกดอกเบี้ยเพิ่มขึ้นเพราะเหตุที่ลูกหนี้ผิดนัดในระหว่างนั้นมิได้ การชำระหนี้ของผู้ค้ำประกันตามมาตรานี้ ไม่กระทบกระเทือนสิทธิของผู้ค้ำประกันตามมาตรา 693
687,มาตรา 687  ผู้ค้ำประกันไม่จำต้องชำระหนี้ก่อนถึงเวลากำหนดที่จะชำระ แม้ถึงว่าลูกหนี้จะไม่อาจถือเอาซึ่งประโยชน์แห่งเงื่อนเวลาเริ่มต้นหรือเวลาสุดสิ้นได้ต่อไปแล้ว
688,มาตรา 688  เมื่อเจ้าหนี้ทวงให้ผู้ค้ำประกันชำระหนี้ ผู้ค้ำประกันจะขอให้เรียกลูกหนี้ชำระก่อนก็ได้ เว้นแต่ลูกหนี้จะถูกศาลพิพากษาให้เป็นคนล้มละลายเสียแล้ว หรือไม่ปรากฏว่าลูกหนี้ไปอยู่แห่งใดในพระราชอาณาเขต
689,มาตรา 689  ถึงแม้จะได้เรียกให้ลูกหนี้ชำระหนี้ดังกล่าวมาในมาตราก่อนนั้นแล้วก็ตาม ถ้าผู้ค้ำประกันพิสูจน์ได้ว่าลูกหนี้นั้นมีทางที่จะชำระหนี้ได้ และการที่จะบังคับให้ลูกหนี้ชำระหนี้นั้นจะไม่เป็นการยากไซร้ ท่านว่าเจ้าหนี้จะต้องบังคับการชำระหนี้รายนั้นเอาจากทรัพย์สินของลูกหนี้ก่อน
690,มาตรา 690  ถ้าเจ้าหนี้มีทรัพย์ของลูกหนี้ยึดถือไว้เป็นประกันไซร้ เมื่อผู้ค้ำประกันร้องขอ ท่านว่าเจ้าหนี้จะต้องให้ชำระหนี้เอาจากทรัพย์ซึ่งเป็นประกันนั้นก่อน
691,มาตรา 691  ในกรณีที่เจ้าหนี้ตกลงกับลูกหนี้ อันมีผลเป็นการลดจำนวนหนี้ที่มีการค้ำประกันรวมทั้งดอกเบี้ย ค่าสินไหมทดแทน หรือค่าภาระติดพันอันเป็นอุปกรณ์แห่งหนี้รายนั้น ให้เจ้าหนี้มีหนังสือแจ้งให้ผู้ค้ำประกันทราบถึงข้อตกลงดังกล่าวภายในหกสิบวันนับแต่วันที่ตกลงกันนั้น ถ้าลูกหนี้ได้ชำระหนี้ตามที่ได้ลดแล้วก็ดี ลูกหนี้ชำระหนี้ตามที่ได้ลดไม่ครบถ้วนแต่ผู้ค้ำประกันได้ชำระหนี้ส่วนที่เหลือนั้นแล้วก็ดี หรือลูกหนี้ไม่ชำระหนี้ตามที่ได้ลดแต่ผู้ค้ำประกันได้ชำระหนี้ตามที่ได้ลดนั้นแล้วก็ดี ให้ผู้ค้ำประกันเป็นอันหลุดพ้นจากการค้ำประกัน ในการชำระหนี้ของผู้ค้ำประกันดังกล่าว ผู้ค้ำประกันมีสิทธิชำระหนี้ได้แม้จะล่วงเลยกำหนดเวลาชำระหนี้ตามที่ได้ลดแต่ต้องไม่เกินหกสิบวันนับแต่วันที่ครบกำหนดเวลาชำระหนี้ดังกล่าว ในกรณีที่เจ้าหนี้มีหนังสือแจ้งให้ผู้ค้ำประกันทราบถึงข้อตกลงดังกล่าวเมื่อล่วงเลยกำหนดเวลาชำระหนี้ตามที่ได้ลดแล้ว ให้ผู้ค้ำประกันมีสิทธิชำระหนี้ได้ภายในหกสิบวันนับแต่วันที่เจ้าหนี้มีหนังสือแจ้งให้ผู้ค้ำประกันทราบถึงข้อตกลงนั้น  ทั้งนี้ ข้อตกลงที่ทำขึ้นภายหลังที่ลูกหนี้ผิดนัดชำระหนี้แล้ว หากในข้อตกลงนั้นมีการขยายเวลาชำระหนี้ให้แก่ลูกหนี้ มิให้ถือว่าเป็นการผ่อนเวลาตามมาตรา 700 ข้อตกลงใดที่มีผลเป็นการเพิ่มภาระแก่ผู้ค้ำประกันให้มากกว่าที่บัญญัติไว้ในวรรคหนึ่ง ข้อตกลงนั้นเป็นโมฆะ
692,มาตรา 692  อายุความสะดุดหยุดลงเป็นโทษแก่ลูกหนี้นั้น ย่อมเป็นโทษแก่ผู้ค้ำประกันด้วย
693,มาตรา 693  ผู้ค้ำประกันซึ่งได้ชำระหนี้แล้ว ย่อมมีสิทธิที่จะไล่เบี้ยเอาจากลูกหนี้ เพื่อต้นเงินกับดอกเบี้ยและเพื่อการที่ต้องสูญหายหรือเสียหายไปอย่างใด ๆ เพราะการค้ำประกันนั้น อนึ่ง ผู้ค้ำประกันย่อมเข้ารับช่วงสิทธิของเจ้าหนี้บรรดามีเหนือลูกหนี้ด้วย
694,มาตรา 694  นอกจากข้อต่อสู้ซึ่งผู้ค้ำประกันมีต่อเจ้าหนี้นั้น ท่านว่าผู้ค้ำประกันยังอาจยกข้อต่อสู้ทั้งหลายซึ่งลูกหนี้มีต่อเจ้าหนี้ขึ้นต่อสู้ได้ด้วย
695,มาตรา 695  ผู้ค้ำประกันซึ่งละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้นต่อสู้เจ้าหนี้นั้น ท่านว่าย่อมสิ้นสิทธิที่จะไล่เบี้ยเอาแก่ลูกหนี้เพียงเท่าที่ไม่ยกขึ้นเป็นข้อต่อสู้ เว้นแต่จะพิสูจน์ได้ว่าตนมิได้รู้ว่ามีข้อต่อสู้เช่นนั้น และที่ไม่รู้นั้นมิได้เป็นเพราะความผิดของตนด้วย
696,มาตรา 696  ผู้ค้ำประกันไม่มีสิทธิจะไล่เบี้ยเอาแก่ลูกหนี้ได้ ถ้าว่าตนได้ชำระหนี้แทนไปโดยมิได้บอกลูกหนี้ และลูกหนี้ยังมิรู้ความมาชำระหนี้ซ้ำอีก ในกรณีเช่นว่านี้ ผู้ค้ำประกันก็ได้แต่เพียงจะฟ้องเจ้าหนี้เพื่อคืนลาภมิควรได้เท่านั้น
697,มาตรา 697  ถ้าเพราะการกระทำอย่างใดอย่างหนึ่งของเจ้าหนี้เอง เป็นเหตุให้ผู้ค้ำประกันไม่อาจเข้ารับช่วงได้ทั้งหมดหรือแต่บางส่วนในสิทธิก็ดี จำนองก็ดี จำนำก็ดี และบุริมสิทธิอันได้ให้ไว้แก่เจ้าหนี้แต่ก่อนหรือในขณะทำสัญญาค้ำประกันเพื่อชำระหนี้นั้น ท่านว่าผู้ค้ำประกันย่อมหลุดพ้นจากความรับผิดเพียงเท่าที่ตนต้องเสียหายเพราะการนั้น
698,มาตรา 698  อันผู้ค้ำประกันย่อมหลุดพ้นจากความรับผิดในขณะเมื่อหนี้ของลูกหนี้ระงับสิ้นไปไม่ว่าเพราะเหตุใด ๆ
699,มาตรา 699  การค้ำประกันเพื่อกิจการเนื่องกันไปหลายคราวไม่มีจำกัดเวลาเป็นคุณแก่เจ้าหนี้นั้น ท่านว่าผู้ค้ำประกันอาจเลิกเสียเพื่อคราวอันเป็นอนาคตได้ โดยบอกกล่าวความประสงค์นั้นแก่เจ้าหนี้ ในกรณีเช่นนี้ ท่านว่าผู้ค้ำประกันไม่ต้องรับผิดในกิจการที่ลูกหนี้กระทำลงภายหลังคำบอกกล่าวนั้นได้ไปถึงเจ้าหนี้
700,มาตรา 700 ถ้าค้ำประกันหนี้อันจะต้องชำระ ณ เวลามีกำหนดแน่นอนและเจ้าหนี้ยอมผ่อนเวลาให้แก่ลูกหนี้ ผู้ค้ำประกันย่อมหลุดพ้นจากความรับผิด เว้นแต่ผู้ค้ำประกันจะได้ตกลงด้วยในการผ่อนเวลานั้น ข้อตกลงที่ผู้ค้ำประกันทำไว้ล่วงหน้าก่อนเจ้าหนี้ผ่อนเวลาอันมีผลเป็นการยินยอมให้เจ้าหนี้ผ่อนเวลา ข้อตกลงนั้นใช้บังคับมิได้ ความในวรรคสอง มิให้ใช้บังคับแก่กรณีผู้ค้ำประกันซึ่งเป็นสถาบันการเงินหรือค้ำประกันเพื่อสินจ้างเป็นปกติธุระ[22]
701,มาตรา 701  ผู้ค้ำประกันจะขอชำระหนี้แก่เจ้าหนี้ตั้งแต่เมื่อถึงกำหนดชำระก็ได้ ถ้าเจ้าหนี้ไม่ยอมรับชำระหนี้ ผู้ค้ำประกันก็เป็นอันหลุดพ้นจากความรับผิด
702,มาตรา 702  อันว่าจำนองนั้น คือสัญญาซึ่งบุคคลคนหนึ่ง เรียกว่าผู้จำนอง เอาทรัพย์สินตราไว้แก่บุคคลอีกคนหนึ่ง เรียกว่าผู้รับจำนอง เป็นประกันการชำระหนี้ โดยไม่ส่งมอบทรัพย์สินนั้นให้แก่ผู้รับจำนอง ผู้รับจำนองชอบที่จะได้รับชำระหนี้จากทรัพย์สินที่จำนองก่อนเจ้าหนี้สามัญมิพักต้องพิเคราะห์ว่ากรรมสิทธิ์ในทรัพย์สินจะได้โอนไปยังบุคคลภายนอกแล้วหรือหาไม่
703,มาตรา 703  อันอสังหาริมทรัพย์นั้นอาจจำนองได้ไม่ว่าประเภทใด ๆ สังหาริมทรัพย์อันจะกล่าวต่อไปนี้ก็อาจจำนองได้ดุจกัน หากว่าได้จดทะเบียนไว้แล้วตามกฎหมาย คือ (1) เรือมีระวางตั้งแต่ห้าตันขึ้นไป (2) แพ (3) สัตว์พาหนะ (4) สังหาริมทรัพย์อื่นใด ๆ ซึ่งกฎหมายหากบัญญัติไว้ให้จดทะเบียนเฉพาะการ
704,มาตรา 704  สัญญาจำนองต้องระบุทรัพย์สินซึ่งจำนอง
705,มาตรา 705  การจำนองทรัพย์สินนั้น นอกจากผู้เป็นเจ้าของในขณะนั้นแล้ว ท่านว่าใครอื่นจะจำนองหาได้ไม่
706,มาตรา 706  บุคคลมีกรรมสิทธิ์ในทรัพย์สินแต่ภายในบังคับเงื่อนไขเช่นใด จะจำนองทรัพย์สินนั้นได้แต่ภายในบังคับเงื่อนไขเช่นนั้น
707,มาตรา 707  บทบัญญัติมาตรา 681 ว่าด้วยค้ำประกันนั้น ท่านให้ใช้ได้ในการจำนอง อนุโลมตามควร
708,มาตรา 708  สัญญาจำนองนั้นต้องมีจำนวนเงินระบุไว้เป็นเรือนเงินไทยเป็นจำนวนแน่ตรงตัว หรือจำนวนขั้นสูงสุดที่ได้เอาทรัพย์สินจำนองนั้นตราไว้เป็นประกัน
709,มาตรา 709  บุคคลคนหนึ่งจะจำนองทรัพย์สินของตนไว้เพื่อประกันหนี้อันบุคคลอื่นจะต้องชำระ ก็ให้ทำได้
710,มาตรา 710  ทรัพย์สินหลายสิ่งมีเจ้าของคนเดียวหรือหลายคนจะจำนองเพื่อประกันการชำระหนี้แต่รายหนึ่งรายเดียว ท่านก็ให้ทำได้ และในการนี้คู่สัญญาจะตกลงกันดังต่อไปนี้ก็ได้ คือว่า (1) ให้ผู้รับจำนองใช้สิทธิบังคับเอาแก่ทรัพย์สินซึ่งจำนองตามลำดับอันระบุไว้ (2) ให้ถือเอาทรัพย์สินแต่ละสิ่งเป็นประกันหนี้เฉพาะแต่ส่วนหนึ่งส่วนใดที่ระบุไว้
